PROVIDER_ID,HAI_1_DEN_VOL,HAI_2_DEN_VOL,HAI_3_DEN_VOL,HAI_4_DEN_VOL,HAI_5_DEN_VOL,HAI_6_DEN_VOL,HAI_1_DEN_PRED,HAI_2_DEN_PRED,HAI_3_DEN_PRED,HAI_4_DEN_PRED,HAI_5_DEN_PRED,HAI_6_DEN_PRED,HAI_1,HAI_2,HAI_3,HAI_4,HAI_5,HAI_6,READM_30_HOSP_WIDE,READM_30_HIP_KNEE,EDAC_30_HF,READM_30_COPD,EDAC_30_AMI,EDAC_30_PN,MORT_30_STK,MORT_30_PN,MORT_30_HF,MORT_30_COPD,MORT_30_AMI,COMP_HIP_KNEE,READM_30_HOSP_WIDE_DEN,READM_30_HIP_KNEE_DEN,EDAC_30_HF_DEN,READM_30_COPD_DEN,EDAC_30_AMI_DEN,EDAC_30_PN_DEN,MORT_30_STK_DEN,MORT_30_PN_DEN,MORT_30_HF_DEN,MORT_30_COPD_DEN,MORT_30_AMI_DEN,COMP_HIP_KNEE_DEN,OP_2,OP_2_DEN,OP_3B,OP_3B_DEN,OP_8,OP_8_DEN,OP_10,OP_10_DEN,OP_13,OP_13_DEN,OP_18B,OP_18B_DEN,OP_22,OP_22_DEN,OP_23,OP_23_DEN,OP_29,OP_29_DEN,PSI_4_SURG_COMP,PSI_4_SURG_COMP_DEN,PSI_90_SAFETY,IMM_3_DEN,IMM_3,HCP_COVID_19_DEN,HCP_COVID_19,PC_01,PC_01_DEN,SEP_1,SEP_1_DEN,H_RESP_RATE_P,H_COMP_1_STAR_RATING,H_COMP_2_STAR_RATING,H_COMP_3_STAR_RATING,H_COMP_5_STAR_RATING,H_COMP_6_STAR_RATING,H_COMP_7_STAR_RATING,H_GLOB_STAR_RATING,H_INDI_STAR_RATING,H_NUMB_COMP,PSI_90_SAFETY_DEN,MORT_30_CABG,MORT_30_CABG_DEN,READM_30_CABG,READM_30_CABG_DEN,OP_32,OP_32_DEN,OP_35_ADM,OP_35_ADM_DEN,OP_35_ED,OP_35_ED_DEN,OP_36,OP_36_DEN
010001,9149.0,17310.0,214.0,,104733.0,104733.0,9.597,24.766,5.994,,11.4,67.066,0.938,0.363,1.335,,0.965,0.507,0.142,0.038,23.4,0.19,-15.4,23.6,0.14800000000000002,0.18,0.08900000000000001,0.08800000000000001,0.12,0.027000000000000003,2912.0,49.0,614.0,117.0,274.0,403.0,398.0,400.0,549.0,107.0,278.0,49.0,,,,,0.38,79.0,0.061,1410.0,0.027999999999999997,178.0,214.0,348.0,0.05,52960.0,,,0.47,17.0,184.68,134.0,1.21,3905.0,0.95,2496.0,0.836,0.0,32.0,0.65,127.0,15.0,3.0,3.0,3.0,3.0,4.0,4.0,3.5,3.5,544.0,2542.038500377795,0.040999999999999995,132.0,0.105,126.0,12.9,170.0,11.9,202.0,4.9,202.0,1.1,668.0
010005,3194.0,8277.0,96.0,,36794.0,34887.0,1.989,4.019,2.626,,1.847,10.066,2.514,0.995,0.762,,0.541,0.497,0.128,0.034,22.1,0.166,,-6.2,0.153,0.233,0.149,0.099,0.136,0.023,1052.0,172.0,129.0,136.0,,285.0,81.0,289.0,121.0,126.0,27.0,155.0,,,56.99999999999999,16.0,0.47700000000000004,130.0,0.12,1057.0,0.042,189.0,145.0,1074.0,0.03,56820.0,0.58,12.0,0.96,180.0,183.49,43.0,0.97,2700.0,0.8,2552.0,0.807,0.02,200.0,0.69,252.0,18.0,3.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,824.0,978.0289937860201,,,,,14.2,739.0,7.9,107.0,5.5,107.0,1.9,406.0
010006,5343.0,8715.0,111.0,,63727.0,60304.0,5.801,11.166,2.95,,5.283,27.805,0.172,0.358,0.0,,1.514,0.072,0.134,0.053,-4.7,0.17600000000000002,28.1,-0.4,0.172,0.195,0.125,0.099,0.165,0.046,2310.0,138.0,441.0,158.0,273.0,472.0,227.0,469.0,388.0,148.0,254.0,145.0,,,,,0.462,39.0,0.10099999999999999,978.0,0.045,221.0,168.0,360.0,0.01,42286.0,0.75,16.0,0.85,82.0,173.63,96.0,1.17,2536.0,0.67,1882.0,0.7959999999999999,0.04,28.0,0.57,126.0,19.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.5,1503.0,1753.9798989747903,0.036000000000000004,95.0,0.124,89.0,12.1,1355.0,,,,,1.4,484.0
010007,,,,,,5511.0,,,,,,2.66,,,,,,0.376,0.157,0.042,-1.9,0.2,,-9.4,,0.285,0.125,0.13699999999999998,,,258.0,26.0,31.0,34.0,,72.0,,88.0,26.0,34.0,,,,,,,,,0.034,146.0,,,132.0,1275.0,0.04,11202.0,,,0.23,111.0,,,0.95,350.0,0.53,252.0,0.601,,,0.93,43.0,24.0,3.0,5.0,4.0,3.0,3.0,3.0,3.5,3.0,189.0,228.286192510683,,,,,13.4,109.0,,,,,1.2,59.0
010008,,,,,,,,,,,,,,,,,,,0.14800000000000002,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,,,0.0,85.0,,,115.99999999999999,340.0,0.0,6239.0,,,0.67,24.0,,,,126.0,0.45,163.0,0.797,,,,,,,,,,,,,,,,,,,,12.9,42.0,,,,,,
010011,12136.0,11795.0,142.0,,83101.0,83101.0,13.096,15.144,3.798,,6.946,59.529,0.916,0.528,0.263,,0.72,0.638,0.149,0.042,26.0,0.19699999999999998,-9.0,14.5,0.12300000000000001,0.209,0.135,0.10300000000000001,0.132,0.035,1366.0,27.0,251.0,47.0,127.0,309.0,86.0,304.0,225.0,43.0,121.0,28.0,,,,,,,0.057,332.0,,,213.0,341.0,0.05,41057.0,0.25,16.0,1.0,24.0,189.28,83.0,0.72,2377.0,0.81,1487.0,0.889,,,0.44,201.0,33.0,3.0,3.0,4.0,3.0,4.0,3.0,3.5,2.5,2023.0,1293.230114720328,0.026000000000000002,65.0,0.126,64.0,12.8,68.0,,,,,0.9,249.0
010012,,2568.0,,,,8162.0,,1.767,,,,3.086,,0.0,,,,0.324,0.147,0.039,24.2,,,7.5,,0.22,0.136,,0.138,0.038,355.0,37.0,82.0,,,151.0,,142.0,73.0,,41.0,41.0,,,,,,,0.059000000000000004,341.0,0.040999999999999995,98.0,149.0,394.0,0.04,19030.0,,,1.0,97.0,,,0.89,661.0,0.65,634.0,0.698,0.0,52.0,0.91,117.0,16.0,4.0,4.0,2.0,3.0,4.0,2.0,2.0,3.0,308.0,291.33069486787406,,,,,13.6,514.0,,,,,0.9,118.0
010016,6493.0,9510.0,109.0,,37517.0,37517.0,4.81,7.342,3.008,,2.185,15.486,0.208,0.409,0.332,,0.915,0.517,0.145,0.047,-0.2,0.185,46.0,24.8,0.132,0.172,0.099,0.092,0.131,0.035,1091.0,82.0,186.0,62.0,72.0,168.0,95.0,164.0,167.0,52.0,74.0,81.0,,,,,,,0.16,713.0,,,179.0,417.0,0.03,32471.0,,,,,149.91,62.0,1.17,1909.0,0.93,1235.0,0.8809999999999999,,,0.76,127.0,21.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,947.0,1018.8896266963558,0.03,32.0,0.122,30.0,12.6,86.0,,,,,1.0,213.0
010018,,,,,,,,,,,,,,,,,,,0.14400000000000002,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,108.0,375.0,0.0,8123.0,,,,,,,0.98,701.0,0.98,949.0,0.963,,,,,,,,,,,,,,,37.962115420636,,,,,,,,,,,0.9,261.0
010019,2678.0,6926.0,44.0,,27457.0,25243.0,1.976,5.266,1.147,,1.567,10.384,1.012,0.19,3.487,,1.276,0.867,0.138,0.044000000000000004,1.8,0.177,,-4.0,0.17300000000000001,0.261,0.16899999999999998,0.078,,0.043,1063.0,122.0,208.0,160.0,,208.0,61.0,207.0,199.0,149.0,,118.0,,,,,0.395,86.0,0.125,1015.0,,,142.0,365.0,0.02,35497.0,0.28,18.0,0.82,92.0,,,1.05,1574.0,0.81,1314.0,0.846,0.01,94.0,0.88,278.0,18.0,4.0,4.0,4.0,3.0,4.0,4.0,4.5,4.5,343.0,807.2855950247952,,,,,14.5,916.0,,,,,0.9,327.0
