PROVIDER_ID,report_indicator,Patient_Experience_cnt,Outcomes_Readmission_cnt,Outcomes_Mortality_cnt,Outcomes_Safety_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,cnt_grp,summary_score,star
010001,1,8,11,7,7,10,5,2,3) # of groups=5,-0.0675636511282173,3.0
010005,1,8,9,6,7,12,5,2,3) # of groups=5,-0.3018296007323544,2.0
010006,1,8,9,7,7,11,5,2,3) # of groups=5,-0.7045517371914348,1.0
010007,1,8,7,3,2,7,4,1,2) # of groups=4,-1.1408888887260376,1.0
010008,0,0,2,0,0,6,1,0,,-0.1735719130057033,N/A
010011,1,8,9,7,7,8,5,2,3) # of groups=5,-0.2959397172965444,2.0
010012,1,8,6,3,4,9,5,2,3) # of groups=5,-0.3676286746141952,2.0
010016,1,8,9,7,7,6,5,2,3) # of groups=5,-0.1363220454738918,3.0
010018,0,0,2,0,1,4,1,0,,0.7067844997288295,N/A
010019,1,8,7,4,7,10,5,2,3) # of groups=5,-0.7304464292553566,1.0
010021,1,8,5,3,2,8,4,1,2) # of groups=4,-0.2503600963224269,2.0
010022,0,0,3,1,1,5,2,0,,0.678869654077953,N/A
010023,1,8,11,7,7,10,5,2,3) # of groups=5,-0.5135707238759667,2.0
010024,1,8,11,7,7,9,5,2,3) # of groups=5,-0.6887961755703302,1.0
010029,1,8,11,7,8,10,5,2,3) # of groups=5,-0.4256076823690579,2.0
010033,1,8,11,7,8,10,5,2,3) # of groups=5,-0.2189774410395628,3.0
010034,0,0,2,0,0,5,1,0,,0.4966300071088436,N/A
010035,1,8,8,6,7,11,5,2,3) # of groups=5,0.0099308434207767,3.0
010036,1,8,7,4,3,9,5,2,3) # of groups=5,-0.3508085974514023,2.0
010039,1,8,11,7,8,11,5,2,3) # of groups=5,-0.4915518832522996,2.0
010040,1,8,9,7,7,9,5,2,3) # of groups=5,-0.508139065058595,2.0
010044,0,0,4,2,0,7,2,0,,0.4237305433902428,N/A
010045,1,8,5,3,2,7,4,1,2) # of groups=4,0.1421304437747131,3.0
010046,1,8,7,6,7,7,5,2,3) # of groups=5,-0.0720825330075696,3.0
010049,1,8,7,4,4,11,5,2,3) # of groups=5,-0.4021201897847375,2.0
