,Random Forest,XGBoost,GBM
std_COMP_HIP_KNEE,0.01342931358141072,0.009686783,0.013660086551960458
std_EDAC_30_AMI,0.01228565445686164,0.013412653,0.013060815367606905
std_EDAC_30_HF,0.040597130582857285,0.014574212,0.03553648211925569
std_EDAC_30_PN,0.03873348628586702,0.019283412,0.03837120885596525
std_HAI_1,0.01431083453440593,0.008417485,0.012967895263240672
std_HAI_2,0.013025032745971757,0.007464286,0.01030596822758772
std_HAI_3,0.011528883316438261,0.011618666,0.013088010990528788
std_HAI_4,0.0028355891780731976,0.0034938075,0.0015670233275116273
std_HAI_5,0.012466887139243614,0.019928176,0.015773033321721457
std_HAI_6,0.0388433215004495,0.016404333,0.046060446873527866
std_HCP_COVID_19,0.010065587472963137,0.0023066527,0.002609977912198633
std_H_COMP_1_STAR_RATING,0.011022816111052075,0.06472324,0.039260637100315764
std_H_COMP_2_STAR_RATING,0.0031369402808796784,0.00224643,0.0015956104624626065
std_H_COMP_3_STAR_RATING,0.005249219322328372,0.007269516,0.007890864858764928
std_H_COMP_5_STAR_RATING,0.0036967490753348647,0.006950383,0.004894668985627246
std_H_COMP_6_STAR_RATING,0.006874099742602409,0.037716456,0.022339742381125596
std_H_COMP_7_STAR_RATING,0.22800828509130194,0.33754903,0.16807865924947185
std_H_GLOB_STAR_RATING,0.08676996701081888,0.17870475,0.13841455715426373
std_H_INDI_STAR_RATING,0.00501142152296434,0.0034984692,0.0
std_IMM_3,0.012456949062304767,0.0034463033,0.008329724986012678
std_MORT_30_AMI,0.021091524115867857,0.0049677505,0.03208036946878578
std_MORT_30_CABG,0.004996632323279264,0.0038518494,0.004667967734571341
std_MORT_30_COPD,0.018387910828311777,0.005487916,0.019106889816500935
std_MORT_30_HF,0.03793533916082282,0.013106391,0.042032186198013514
std_MORT_30_PN,0.09566094806298067,0.041580692,0.09769384900682332
std_MORT_30_STK,0.017403789965298153,0.010674629,0.02248627068917204
std_OP_10,0.01103881980984098,0.0031849954,0.0028719126077577915
std_OP_13,0.006176087999606579,0.0034201595,0.00010504814398272048
std_OP_18B,0.008219999953539142,0.002733512,0.0005688676171087817
std_OP_22,0.005109357975994254,0.0033055127,0.0030229017870042826
std_OP_23,0.0050014380458712334,0.0043812618,0.0
std_OP_29,0.009978538122781898,0.0067188153,0.0021449585295131974
std_OP_32,0.017487761497591726,0.011506533,0.016545547440181947
std_OP_35_ADM,0.004563952708359353,0.00209147,0.0011837821370278853
std_OP_35_ED,0.006150933168155281,0.005143281,0.003343240007372624
std_OP_36,0.008197444368288134,0.009483218,0.010902758654230654
std_OP_3B,0.0016133338183253354,0.0022546132,8.77676132312192e-05
std_OP_8,0.003560990918151331,0.002426371,0.0001770618048176692
std_PC_01,0.005066551202815977,0.002965322,0.001745676139708324
std_PSI_4_SURG_COMP,0.012748177503238192,0.008907678,0.010048671636058732
std_PSI_90_SAFETY,0.036857312458174446,0.018950919,0.04068487251457559
std_READM_30_CABG,0.0030014392644649667,0.006066549,0.0020845009173252192
std_READM_30_COPD,0.02453825068558393,0.010867273,0.020925565205085546
std_READM_30_HIP_KNEE,0.011393448048153522,0.01329444,0.012193528539967633
std_READM_30_HOSP_WIDE,0.04016352589341974,0.02589175,0.05252609595731611
std_SEP_1,0.013308324086954192,0.00804199,0.006964295844717809
