,0
std_H_COMP_7_STAR_RATING,0.33754903
std_H_GLOB_STAR_RATING,0.17870475
std_H_COMP_1_STAR_RATING,0.06472324
std_MORT_30_PN,0.041580692
std_H_COMP_6_STAR_RATING,0.037716456
std_READM_30_HOSP_WIDE,0.02589175
std_HAI_5,0.019928176
std_EDAC_30_PN,0.019283412
std_PSI_90_SAFETY,0.018950919
std_HAI_6,0.016404333
std_EDAC_30_HF,0.014574212
std_EDAC_30_AMI,0.013412653
std_READM_30_HIP_KNEE,0.01329444
std_MORT_30_HF,0.013106391
std_HAI_3,0.011618666
std_OP_32,0.011506533
std_READM_30_COPD,0.010867273
std_MORT_30_STK,0.010674629
std_COMP_HIP_KNEE,0.009686783
std_OP_36,0.009483218
std_PSI_4_SURG_COMP,0.008907678
std_HAI_1,0.008417485
std_SEP_1,0.00804199
std_HAI_2,0.007464286
std_H_COMP_3_STAR_RATING,0.007269516
std_H_COMP_5_STAR_RATING,0.006950383
std_OP_29,0.0067188153
std_READM_30_CABG,0.006066549
std_MORT_30_COPD,0.005487916
std_OP_35_ED,0.005143281
std_MORT_30_AMI,0.0049677505
std_OP_23,0.0043812618
std_MORT_30_CABG,0.0038518494
std_H_INDI_STAR_RATING,0.0034984692
std_HAI_4,0.0034938075
std_IMM_3,0.0034463033
std_OP_13,0.0034201595
std_OP_22,0.0033055127
std_OP_10,0.0031849954
std_PC_01,0.002965322
std_OP_18B,0.002733512
std_OP_8,0.002426371
std_HCP_COVID_19,0.0023066527
std_OP_3B,0.0022546132
std_H_COMP_2_STAR_RATING,0.00224643
std_OP_35_ADM,0.00209147
