PROVIDER_ID,total_cnt,measure_wt,score_before_std,Mean,StdDev,grp_score
010001,8,0.125,0.11989547210108677,5.2779404698986086e-17,0.8702042369988301,0.13777854324702385
010005,8,0.125,-0.22201066351807955,5.2779404698986086e-17,0.8702042369988301,-0.2551247788493336
010006,8,0.125,-0.9546907083014013,5.2779404698986086e-17,0.8702042369988301,-1.0970880946224177
010007,8,0.125,0.17383831437902136,5.2779404698986086e-17,0.8702042369988301,0.19976725806180487
010008,0,,,5.2779404698986086e-17,0.8702042369988301,
010011,8,0.125,-0.026539572152179565,5.2779404698986086e-17,0.8702042369988301,-0.030498095761645087
010012,8,0.125,-0.24518672017449156,5.2779404698986086e-17,0.8702042369988301,-0.2817576722219766
010016,8,0.125,-0.6372914388271321,5.2779404698986086e-17,0.8702042369988301,-0.7323469729646799
010018,0,,,5.2779404698986086e-17,0.8702042369988301,
010019,8,0.125,0.7469540476332028,5.2779404698986086e-17,0.8702042369988301,0.8583663648999299
010021,8,0.125,0.6267807531125129,5.2779404698986086e-17,0.8702042369988301,0.7202685604866292
010022,0,,,5.2779404698986086e-17,0.8702042369988301,
010023,8,0.125,-0.2655183347302822,5.2779404698986086e-17,0.8702042369988301,-0.3051218592614589
010024,8,0.125,-0.20025262511365732,5.2779404698986086e-17,0.8702042369988301,-0.23012140897439298
010029,8,0.125,0.18575355405615152,5.2779404698986086e-17,0.8702042369988301,0.21345972147501874
010033,8,0.125,0.37667824881658973,5.2779404698986086e-17,0.8702042369988301,0.4328618878203601
010034,0,,,5.2779404698986086e-17,0.8702042369988301,
010035,8,0.125,0.1209822615579459,5.2779404698986086e-17,0.8702042369988301,0.13902743334736084
010036,8,0.125,0.10535701764541991,5.2779404698986086e-17,0.8702042369988301,0.1210715980983686
010039,8,0.125,-0.3786305878170849,5.2779404698986086e-17,0.8702042369988301,-0.43510542895413873
010040,8,0.125,-1.0259208327754776,5.2779404698986086e-17,0.8702042369988301,-1.178942585149533
010044,0,,,5.2779404698986086e-17,0.8702042369988301,
010045,8,0.125,1.6325231036132855,5.2779404698986086e-17,0.8702042369988301,1.8760229314023442
010046,8,0.125,-0.4671223266548785,5.2779404698986086e-17,0.8702042369988301,-0.5367961988623443
010049,8,0.125,0.12021664455268516,5.2779404698986086e-17,0.8702042369988301,0.13814762034173678
010051,0,,,5.2779404698986086e-17,0.8702042369988301,
010052,0,,,5.2779404698986086e-17,0.8702042369988301,
010055,8,0.125,0.05598775182816257,5.2779404698986086e-17,0.8702042369988301,0.06433863390651105
010056,8,0.125,0.616422628399953,5.2779404698986086e-17,0.8702042369988301,0.7083654643257979
010058,0,,,5.2779404698986086e-17,0.8702042369988301,
010059,0,,,5.2779404698986086e-17,0.8702042369988301,
010061,8,0.125,0.2218360008148051,5.2779404698986086e-17,0.8702042369988301,0.2549240642402242
010062,0,,,5.2779404698986086e-17,0.8702042369988301,
010065,8,0.125,0.5347108939896286,5.2779404698986086e-17,0.8702042369988301,0.6144659739117628
010069,8,0.125,0.2255303121661098,5.2779404698986086e-17,0.8702042369988301,0.25916940251166914
010073,0,,,5.2779404698986086e-17,0.8702042369988301,
010078,8,0.125,-0.4597927412330771,5.2779404698986086e-17,0.8702042369988301,-0.5283733653364128
010079,8,0.125,0.6161514285131116,5.2779404698986086e-17,0.8702042369988301,0.708053813479582
010083,8,0.125,0.7945293912165391,5.2779404698986086e-17,0.8702042369988301,0.9130378334593277
010085,8,0.125,-0.18196270552127977,5.2779404698986086e-17,0.8702042369988301,-0.2091034469664671
010086,8,0.125,0.4238687444089727,5.2779404698986086e-17,0.8702042369988301,0.4870911061876874
010087,8,0.125,-0.5853880508375355,5.2779404698986086e-17,0.8702042369988301,-0.6727019082973306
010089,8,0.125,-0.6326422219692736,5.2779404698986086e-17,0.8702042369988301,-0.7270042997620156
010090,8,0.125,-0.09103966476354367,5.2779404698986086e-17,0.8702042369988301,-0.10461873304308689
010091,0,,,5.2779404698986086e-17,0.8702042369988301,
010092,8,0.125,-1.149722220146015,5.2779404698986086e-17,0.8702042369988301,-1.3212096324779912
010095,0,,,5.2779404698986086e-17,0.8702042369988301,
010097,8,0.125,0.21560679488763584,5.2779404698986086e-17,0.8702042369988301,0.24776573788151487
010099,8,0.125,0.6707779764107585,5.2779404698986086e-17,0.8702042369988301,0.7708282123793662
010100,8,0.125,-0.13575253250229322,5.2779404698986086e-17,0.8702042369988301,-0.15600077169295118
010101,8,0.125,0.035913634184615406,5.2779404698986086e-17,0.8702042369988301,0.041270350864384076
010102,0,,,5.2779404698986086e-17,0.8702042369988301,
010103,8,0.125,-0.07481486729192866,5.2779404698986086e-17,0.8702042369988301,-0.0859739175138368
010104,8,0.125,-0.201973147625472,5.2779404698986086e-17,0.8702042369988301,-0.23209855691123646
010108,8,0.125,0.5565789338670968,5.2779404698986086e-17,0.8702042369988301,0.6395957525863495
010110,0,,,5.2779404698986086e-17,0.8702042369988301,
010112,8,0.125,-0.23583347353324252,5.2779404698986086e-17,0.8702042369988301,-0.27100933724086157
010113,8,0.125,-0.20025262511365732,5.2779404698986086e-17,0.8702042369988301,-0.23012140897439298
010114,8,0.125,-1.0172832305747326,5.2779404698986086e-17,0.8702042369988301,-1.1690166369255452
010118,8,0.125,-1.081033399064927,5.2779404698986086e-17,0.8702042369988301,-1.2422754947656964
010120,8,0.125,1.3183394212559931,5.2779404698986086e-17,0.8702042369988301,1.514977019420977
010125,8,0.125,1.24389370966494,5.2779404698986086e-17,0.8702042369988301,1.429427319217491
010126,8,0.125,-0.040633582054184034,5.2779404698986086e-17,0.8702042369988301,-0.04669430499938915
010128,0,,,5.2779404698986086e-17,0.8702042369988301,
010129,8,0.125,0.8803479427110392,5.2779404698986086e-17,0.8702042369988301,1.011656695383595
010130,8,0.125,1.1788991999351568,5.2779404698986086e-17,0.8702042369988301,1.3547385197766415
010131,8,0.125,-0.889153798797935,5.2779404698986086e-17,0.8702042369988301,-1.0217759934891357
010138,0,,,5.2779404698986086e-17,0.8702042369988301,
010139,8,0.125,-0.4422599269825184,5.2779404698986086e-17,0.8702042369988301,-0.5082254351091066
010144,8,0.125,-0.06857925254763551,5.2779404698986086e-17,0.8702042369988301,-0.07880822642757113
010148,8,0.125,0.6484203844472474,5.2779404698986086e-17,0.8702042369988301,0.7451358622241678
010149,8,0.125,0.19302598569254692,5.2779404698986086e-17,0.8702042369988301,0.2218168764131246
01014F,8,0.125,0.2973185292979603,5.2779404698986086e-17,0.8702042369988301,0.34166522829555007
010150,0,,,5.2779404698986086e-17,0.8702042369988301,
010157,0,,,5.2779404698986086e-17,0.8702042369988301,
010158,8,0.125,0.9482868396709576,5.2779404698986086e-17,0.8702042369988301,1.0897290536545992
010164,8,0.125,-0.062120420571764735,5.2779404698986086e-17,0.8702042369988301,-0.07138602402811366
010168,8,0.125,1.439483314167328,5.2779404698986086e-17,0.8702042369988301,1.6541901923298303
010169,8,0.125,1.19193051199101,5.2779404698986086e-17,0.8702042369988301,1.3697135239214107
010173,8,0.125,1.7016881059665994,5.2779404698986086e-17,0.8702042369988301,1.9555042754507839
010174,0,,,5.2779404698986086e-17,0.8702042369988301,
010175,0,,,5.2779404698986086e-17,0.8702042369988301,
01019F,8,0.125,0.14887320052106456,5.2779404698986086e-17,0.8702042369988301,0.17107845973549846
01021F,0,,,5.2779404698986086e-17,0.8702042369988301,
011300,0,,,5.2779404698986086e-17,0.8702042369988301,
011302,0,,,5.2779404698986086e-17,0.8702042369988301,
011304,0,,,5.2779404698986086e-17,0.8702042369988301,
