PROVIDER_ID,report_indicator,Patient_Experience_cnt,Outcomes_Readmission_cnt,Outcomes_Mortality_cnt,Outcomes_Safety_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,cnt_grp
010001,1,8,11,7,7,10,5,2,3) # of groups=5
010005,1,8,9,6,7,12,5,2,3) # of groups=5
010006,1,8,9,7,7,11,5,2,3) # of groups=5
010007,1,8,7,3,2,7,4,1,2) # of groups=4
010008,0,0,2,0,0,6,1,0,
010011,1,8,9,7,7,8,5,2,3) # of groups=5
010012,1,8,6,3,4,9,5,2,3) # of groups=5
010016,1,8,9,7,7,6,5,2,3) # of groups=5
010018,0,0,2,0,1,4,1,0,
010019,1,8,7,4,7,10,5,2,3) # of groups=5
010021,1,8,5,3,2,8,4,1,2) # of groups=4
010022,0,0,3,1,1,5,2,0,
010023,1,8,11,7,7,10,5,2,3) # of groups=5
010024,1,8,11,7,7,9,5,2,3) # of groups=5
010029,1,8,11,7,8,10,5,2,3) # of groups=5
010033,1,8,11,7,8,10,5,2,3) # of groups=5
010034,0,0,2,0,0,5,1,0,
010035,1,8,8,6,7,11,5,2,3) # of groups=5
010036,1,8,7,4,3,9,5,2,3) # of groups=5
010039,1,8,11,7,8,11,5,2,3) # of groups=5
010040,1,8,9,7,7,9,5,2,3) # of groups=5
010044,0,0,4,2,0,7,2,0,
010045,1,8,5,3,2,7,4,1,2) # of groups=4
010046,1,8,7,6,7,7,5,2,3) # of groups=5
010049,1,8,7,4,4,11,5,2,3) # of groups=5
010051,0,0,0,0,0,4,1,0,
010052,0,0,1,0,0,6,1,0,
010055,1,8,9,7,8,10,5,2,3) # of groups=5
010056,1,8,9,7,8,11,5,2,3) # of groups=5
010058,0,0,1,0,2,7,1,0,
010059,0,0,2,1,0,5,1,0,
010061,1,8,6,3,3,9,5,2,3) # of groups=5
010062,0,0,3,1,2,6,2,0,
010065,1,8,8,3,3,10,5,2,3) # of groups=5
010069,0,8,4,2,2,7,3,0,1) # of groups=3
010073,0,0,3,1,2,7,2,0,
010078,1,8,10,6,7,11,5,2,3) # of groups=5
010079,1,8,7,4,6,10,5,2,3) # of groups=5
010083,1,8,8,6,6,11,5,2,3) # of groups=5
010085,1,8,7,6,7,11,5,2,3) # of groups=5
010086,1,8,5,3,1,8,4,1,2) # of groups=4
010087,1,8,7,4,6,7,5,2,3) # of groups=5
010089,1,8,6,4,5,9,5,2,3) # of groups=5
010090,1,8,9,7,8,8,5,2,3) # of groups=5
010091,0,0,2,0,0,7,1,0,
010092,1,8,11,7,8,11,5,2,3) # of groups=5
010095,0,0,1,0,0,4,1,0,
010097,0,8,2,0,1,7,2,0,
010099,0,8,6,2,2,8,3,0,1) # of groups=3
010100,1,8,9,7,7,9,5,2,3) # of groups=5
010101,0,8,4,2,2,6,3,0,1) # of groups=3
010102,0,0,0,0,0,4,1,0,
010103,1,8,9,7,7,9,5,2,3) # of groups=5
010104,1,8,11,7,8,11,5,2,3) # of groups=5
010108,1,8,5,4,3,8,5,2,3) # of groups=5
010110,0,0,0,0,0,4,1,0,
010112,0,8,5,2,2,8,3,0,1) # of groups=3
