PROVIDER_ID,total_cnt,measure_wt,score_before_std,Mean,StdDev,Std_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,Std_Outcomes_Safety_score,Std_PatientExp_score,Std_Process_score,std_weight_Std_PatientExp_score,std_weight_Std_Outcomes_Readmission_score,std_weight_Std_Outcomes_Mortality_score,std_weight_Std_Outcomes_Safety_score,std_weight_Std_Process_score,I_Std_PatientExp_score,I_Std_Outcomes_Readmission_score,I_Std_Outcomes_Mortality_score,I_Std_Outcomes_Safety_score,I_Std_Process_score,weight_Std_PatientExp_score,weight_Std_Outcomes_Readmission_score,weight_Std_Outcomes_Mortality_score,weight_Std_Outcomes_Safety_score,weight_Std_Process_score,sum_weight_ave_Std_PatientExp_score,sum_weight_ave_Std_Outcomes_Readmission_score,sum_weight_ave_Std_Outcomes_Mortality_score,sum_weight_ave_Std_Outcomes_Safety_score,sum_weight_ave_Std_Process_score,summary_score
010001,7,0.1428571428571428,-0.0634105807662989,-0.0683912357439267,0.7043713990035915,0.0070710636244933,0.2308674186224573,-0.1468673734802767,0.1377785432470238,-0.6776239518272584,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,0.030311279514345233,0.05079083209694061,0.001555633997388526,-0.03231082216566088,-0.08131487421927101,-0.030967950776257525
010005,6,0.1666666666666666,-1.0830997704036995,-0.0683912357439267,0.7043713990035915,-1.4405873607235988,0.7202630159343831,-0.087719588805179,-0.2551247788493336,-0.4890007182471029,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,-0.056127451346853395,0.1584578635055643,-0.31692921935919177,-0.019298309537139378,-0.05868008618965234,-0.29257720292727263
010006,7,0.1428571428571428,-1.0987092050031282,-0.0683912357439267,0.7043713990035915,-1.4627481620018874,-0.2694749210019423,-0.1733309153859108,-1.0970880946224175,-0.7549117237256937,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,-0.24135938081693187,-0.059284482620427306,-0.32180459564041525,-0.038132801384900376,-0.09058940684708325,-0.751170667309758
010007,3,0.3333333333333333,-2.553142165980789,-0.0683912357439267,0.7043713990035915,-3.5276147409616683,-0.470902742218635,0.393999075851622,0.1997672580618048,-1.80487920849877,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,0.04394879677359705,-0.1035986032880997,-0.776075243011567,0.08667979668735684,-0.21658550501985238,-0.9656307578585653
010008,0,,,-0.0683912357439267,0.7043713990035915,,-0.0017258693565485,,,-0.4451995303866256,0.22,0.22,0.22,0.22,0.12,1,0,1,1,0,,0.6470588235294118,,,0.35294117647058826,,-0.0011167389954137353,,,-0.15712924601880904,-0.15824598501422277
010011,7,0.1428571428571428,-0.404179431506905,-0.0683912357439267,0.7043713990035915,-0.4767203725733137,-0.4021907147552279,0.3466230597877495,-0.030498095761645,-1.0462861936468997,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,-0.0067095810675619,-0.08848195724615014,-0.104878481966129,0.07625707315330489,-0.12555434323762796,-0.2493672903641641
010012,3,0.3333333333333333,-1.147890604626948,-0.0683912357439267,0.7043713990035915,-1.5325712690919713,-0.1205700137553671,0.3389377536645255,-0.2817576722219766,-0.0945513936773459,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,-0.06198668788883486,-0.026525403026180762,-0.33716567920023366,0.07456630580619561,-0.011346167241281508,-0.36245763155033517
010016,7,0.1428571428571428,0.3094658583548111,-0.0683912357439267,0.7043713990035915,0.5364458219531018,-0.6640110582860881,0.0762134154368973,-0.7323469729646799,-0.2785979505047433,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,-0.16111633405222958,-0.14608243282293937,0.11801808082968239,0.01676695139611741,-0.033431754060569197,-0.20584548870993832
010018,0,,,-0.0683912357439267,0.7043713990035915,,0.5499659922372403,0.1835002162723403,,1.7817856854209535,0.22,0.22,0.22,0.22,0.12,1,0,1,0,0,,0.39285714285714285,,0.39285714285714285,0.21428571428571425,,0.21605806837891584,,0.0720893706784194,0.38181121830448994,0.6699586573618252
010019,4,0.25,-1.6451479501590989,-0.0683912357439267,0.7043713990035915,-2.238530293316371,0.4152038146027348,-1.286997333241548,0.8583663648999299,-0.4054025513892184,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,0.18884060027798458,0.09134483921260166,-0.49247666452960165,-0.2831394133131406,-0.04864830616670621,-0.5440789445188622
010021,3,0.3333333333333333,-0.360215328534692,-0.0683912357439267,0.7043713990035915,-0.4143042906108648,0.3287168045414188,-0.355110932249972,0.7202685604866292,-1.429796938630314,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,0.15845908330705843,0.07231769699911213,-0.09114694393439027,-0.07812440509499384,-0.17157563263563766,-0.11007020135885122
010022,1,1.0,0.7193356289223164,-0.0683912357439267,0.7043713990035915,1.118340219067053,0.1513423968869749,1.4110119356821584,,-0.3392011162676614,0.22,0.22,0.22,0.22,0.12,1,0,0,0,0,,0.28205128205128205,0.28205128205128205,0.28205128205128205,0.15384615384615383,,0.04268631707068523,0.31542929255737395,0.39797772544881393,-0.05218478711810175,0.7039085479587713
010023,7,0.1428571428571428,-0.7040229045009985,-0.0683912357439267,0.7043713990035915,-0.9024098219437084,-0.3020667564078788,-0.8352421326603395,-0.3051218592614589,0.1272500957465533,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,-0.06712680903752095,-0.06645468640973333,-0.19853016082761585,-0.1837532691852747,0.015270011489586396,-0.5005949139705584
010024,7,0.1428571428571428,-0.6023867420554201,-0.0683912357439267,0.7043713990035915,-0.758116395791889,-0.0933380617745504,-1.320215055605019,-0.2301214089743929,-0.8478954184267072,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,-0.05062670997436644,-0.020534373590401087,-0.16678560707421558,-0.29044731223310416,-0.10174745021120486,-0.6301414530832922
010029,7,0.1428571428571428,-0.8724033583939234,-0.0683912357439267,0.7043713990035915,-1.1414604905698296,-0.0687130765174516,-0.265892752492286,0.2134597214750187,-0.5642064737697811,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,0.046961138724504116,-0.015116876833839351,-0.2511213079253625,-0.05849640554830292,-0.06770477685237372,-0.34547822843537446
010033,7,0.1428571428571428,-0.0488263400959655,-0.0683912357439267,0.7043713990035915,0.0277763913691524,-0.3122477064205056,-0.4765070929225495,0.4328618878203601,-0.5171131532012667,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,0.09522961532047923,-0.06869449541251123,0.006110806101213528,-0.1048315604429609,-0.06205357838415201,-0.13423921281793139
010034,0,,,-0.0683912357439267,0.7043713990035915,,1.0549818153892572,,,-0.3859260769472938,0.22,0.22,0.22,0.22,0.12,1,0,1,1,0,,0.6470588235294118,,,0.35294117647058826,,0.6826352923106959,,,-0.13620920362845665,0.5464260886822392
010035,6,0.1666666666666666,-0.3641551744621141,-0.0683912357439267,0.7043713990035915,-0.419897711827279,0.0075417101341579,0.3585320160107632,0.1390274333473608,0.0504819499660949,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,0.03058603533641938,0.001659176229514738,-0.09237749660200137,0.07887704352236789,0.006057833995931387,0.024802592482232027
010036,4,0.25,-0.4842163698831094,-0.0683912357439267,0.7043713990035915,-0.5903492599606,-0.5189269174698979,0.568522568189751,0.1210715980983686,-1.4944634772789671,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,0.026635751581641092,-0.11416392184337755,-0.129876837191332,0.12507496500174523,-0.17933561727347605,-0.2716656597247993
010039,7,0.1428571428571428,-0.8729006184997815,-0.0683912357439267,0.7043713990035915,-1.142166453512904,0.4856621435166386,-0.56010587766473,-0.4351054289541387,-0.939488968325165,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,-0.0957231943699105,0.1068456715736605,-0.2512766197728389,-0.1232232930862406,-0.1127386761990198,-0.47611611185434927
010040,7,0.1428571428571428,-0.0468090851820186,-0.0683912357439267,0.7043713990035915,0.0306402994108482,0.0355139234044558,-0.4789042064840779,-1.178942585149533,-1.7892363528599786,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,-0.2593673687328973,0.007813063148980276,0.0067408658703866035,-0.10535892542649714,-0.21470836234319743,-0.5648807274832249
010044,2,0.5,-0.0727362972565107,-0.0683912357439267,0.7043713990035915,-0.0061687080405743,1.312718253279195,,,-0.3019254070758413,0.22,0.22,0.22,0.22,0.12,1,0,0,1,0,,0.39285714285714285,0.39285714285714285,,0.21428571428571425,,0.5157107423596837,-0.0024234210159399037,,-0.0646983015162517,0.4485890198274921
010045,3,0.3333333333333333,0.2590424685863204,-0.0683912357439267,0.7043713990035915,0.4648594545341236,-0.2371989903357489,-0.480645346081642,1.876022931402344,-0.0145211781815754,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,0.4127250449085157,-0.05218377787386476,0.10226907999750719,-0.10574197613796124,-0.0017425413817890479,0.3553258295124078
010046,6,0.1666666666666666,0.1028527657980625,-0.0683912357439267,0.7043713990035915,0.2431160631794989,-1.2959130685528846,1.1449985928747206,-0.5367961988623443,-0.2298344520679928,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,-0.11809516374971575,-0.2851008750816346,0.05348553389948976,0.25189969043243854,-0.027580134248159135,-0.12539094874758122
010049,4,0.25,-1.3273404873440795,-0.0683912357439267,0.7043713990035915,-1.7873372674998886,-0.1226969392030311,0.2604687729792911,0.1381476203417367,-0.0849864307099327,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,0.030392476475182072,-0.02699332662466684,-0.3932141988499755,0.057303130055444046,-0.010198371685191924,-0.34271029062920816
010051,0,,,-0.0683912357439267,0.7043713990035915,,,,,1.3907802080983844,0.22,0.22,0.22,0.22,0.12,1,1,1,1,0,,,,,1.0,,,,,1.3907802080983844,1.3907802080983844
010052,0,,,-0.0683912357439267,0.7043713990035915,,0.9755889956643764,,,-0.7688284948195058,0.22,0.22,0.22,0.22,0.12,1,0,1,1,0,,0.6470588235294118,,,0.35294117647058826,,0.6312634677828318,,,-0.27135123346570794,0.3599122343171239
010055,7,0.1428571428571428,-1.537305415337589,-0.0683912357439267,0.7043713990035915,-2.085425645719855,-0.6686873518972645,0.760160753118589,0.064338633906511,-0.8788370377681259,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,0.01415449945943242,-0.1471112174173982,-0.45879364205836803,0.16723536568608957,-0.10546044453217511,-0.5299754388624194
010056,7,0.1428571428571428,-0.1892296982808385,-0.0683912357439267,0.7043713990035915,-0.1715550385888052,0.7851572143496973,0.0644946197486481,0.7083654643257979,-1.2578258900623258,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,0.15584040215167555,0.1727345871569334,-0.03774210848953714,0.014188816344702582,-0.1509391068074791,0.15408259035629532
010058,0,,,-0.0683912357439267,0.7043713990035915,,0.334469541024832,0.7611955396676592,,0.072101415029353,0.22,0.22,0.22,0.22,0.12,1,0,1,0,0,,0.39285714285714285,,0.39285714285714285,0.21428571428571425,,0.13139874825975542,,0.2990411048694375,0.015450303220575638,0.4458901563497686
